Firm.Name,City,State,Firm.Number,Registration.Date,Expires,Type of Business,Last.Updated,Board Order
"RICHARD L. SODERBERG, CPA",Snohomish,WA,46557,03/02/2004,06/30/2025,Sole Proprietorship,,
LAPORTE FINANCIAL ALLIANCE,CHELAN,WA,4696,06/16/2004,06/30/2022,P.S. Corporation,,
STEPHANIE SHAFER WILLIS,WOODLAND,WA,46562,03/19/2004,10/01/2021,Sole Proprietorship,,
"DAWSON & GERBIC, LLP",Seattle,WA,4664,04/02/2004,06/30/2025,Limited Liability Partnership,,
"JOHN SHAFER CPA, LLC",Seattle,WA,4678,05/07/2004,06/30/2028,Limited Liability Company,,
"BAKER TILLY US, LLP",Madison,WI,46595,06/16/2004,06/30/2025,Limited Liability Partnership,,
"MATHENEY & MATHENEY, CPAS PLLC",Spokane Valley,WA,4683,05/19/2004,06/30/2028,Limited Liability Company,,
"BEN M. KOSTICK CPA, INC.",Chehalis,WA,46584,05/19/2004,06/30/2028,P.S. Corporation,,
"ANDY H. YEUNG, CPA PS",Kirkland,WA,46590,06/16/2004,06/30/2025,P.S. Corporation,,
"DEBRA A. O'CONNELL, CPA, PS",Seattle,WA,4756,12/12/2004,06/30/2028,P.S. Corporation,,
THE AGUIAR GROUP LTD,Bellevue,WA,4701,06/17/2004,06/30/2025,P.S. Corporation,,
"BLACKWATER OAK, P.S.",Bellevue,WA,4699,06/17/2004,06/30/2025,P.S. Corporation,,
"EDWARD JOHN PETERSEN, CPA",UNIVERSITY PLACE,WA,4704,06/24/2004,06/30/2025,Sole Proprietorship,,
"MARLYS BOURM, CPA. P.S.",BELLINGHAM,WA,4707,07/01/2004,06/30/2022,P.S. Corporation,,
"DAVIS & ASSOCIATES CPAS, PS",Longview,WA,4709,07/15/2004,06/30/2025,P.S. Corporation,,
"BARNETT & MORO, P.C.",Hermiston,OR,4716,07/22/2004,06/30/2025,P.S. Corporation,,
"GARY T. IRVIN, CPA, PLLC",Bothell,WA,4723,08/05/2004,06/30/2025,Limited Liability Company,,
LINDQUIST LLP,San Ramon,CA,4718,08/05/2004,07/18/2022,Limited Liability Partnership,,
"JOHN SCHERZO, CPA",Mercer Island,WA,4728,08/24/2004,06/30/2028,Sole Proprietorship,,
UHY LLP,Farmington Hills,MI,4758,10/12/2004,06/30/2028,Limited Liability Partnership,,
NORTHWEST CPA GROUP PLLC,RICHLAND,WA,4745,09/29/2004,06/30/2025,Limited Liability Company,,
NOVOGRADAC & COMPANY LLP,San Francisco,CA,4747,09/29/2004,06/30/2025,Limited Liability Partnership,,
BABER & MASON CPAS PS,Mercer Island,WA,4743,09/29/2004,06/30/2025,P.S. Corporation,,
"PETERS & COMPANY INC., PS",Seattle,WA,4748,10/12/2004,06/30/2025,P.S. Corporation,,
GARY HESLOP CPA,PROSSER,WA,4749,10/12/2004,06/30/2028,Sole Proprietorship,,
"MICHELLE YOUNG, CPA",Snohomish,WA,4750,10/12/2004,06/30/2025,Sole Proprietorship,,
"BENSON & WILLIAMS, CPA'S, INC., PS",Puyallup,WA,4766,11/04/2004,06/30/2025,P.S. Corporation,,
"LINDA S. WHITE, CPA",BUCKLEY,WA,46666,11/04/2004,06/30/2022,Sole Proprietorship,,
CHERYL CLARK CPA INC.,Kent,WA,4770,11/16/2004,05/16/2022,P.S. Corporation,,
"ROBIN L. TILL, CPA",Vancouver,WA,4767,11/16/2004,06/30/2028,Sole Proprietorship,,
"MICHAEL G. CONNER, CPA, PC",LAKE OSWEGO,OR,4802,02/23/2005,06/30/2026,P.S. Corporation,,
"GENE AMUNDSON, CPA",Vancouver,WA,4808,02/23/2005,06/30/2026,Sole Proprietorship,,
GALLINA LLP,ROSEVILLE,CA,46693,01/24/2005,06/30/2020,Limited Liability Partnership,,
"C WHITING GIBBS, CFE, CPA, PS",Olympia,WA,46695,01/24/2005,06/30/2026,P.S. Corporation,,
"PARKSIDE CPA, PLLC",Tumwater,WA,46699,02/02/2005,06/30/2026,Limited Liability Company,,
PACIFIC ACCOUNTING & TAX LLC,Bellevue,WA,4810,02/23/2005,06/30/2026,Limited Liability Company,,
"WENDY L. ROUSH, CPA, PS",PUYALLUP,WA,4809,02/23/2005,07/14/2021,P.S. Corporation,,
JEFF KAVADIAS PC,Spokane,WA,4806,02/23/2005,06/30/2023,P.S. Corporation,,
REBECCA L. THOMAS,Bothell,WA,4805,02/23/2005,06/30/2023,Sole Proprietorship,,
"GREGORY S. CAMPBELL, CPA PS",Bellingham,WA,4807,02/23/2005,06/30/2026,P.S. Corporation,,
"WILL CRITES, CPA",Kirkland,WA,4813,03/07/2005,06/30/2026,Sole Proprietorship,,
"NORA O. ENG, CPA",RENTON,WA,46713,03/07/2005,06/30/2020,Sole Proprietorship,,
"TED WILSON, CPA",Mill Creek,WA,4826,04/18/2005,06/30/2026,Limited Liability Company,,
"WHITE & COMPANY, PC",Sunnyside,WA,4827,04/27/2005,06/30/2026,P.S. Corporation,,
"YOUR FINANCIAL SOLUTIONS, LLC",Tukwila,WA,4829,05/16/2005,06/30/2026,Limited Liability Company,,
HOJIN TIM LEE P.S.,Tukwila,WA,4830,06/01/2005,06/30/2026,P.S. Corporation,,
"ERIC L ANDERSON CPA, INC. P.S.",Everett,WA,4833,06/01/2005,06/30/2026,P.S. Corporation,,
"CLIFFORD R. THOMAS & ASSOCIATES, INC., P.S.",Snoqualmie,WA,46737,06/01/2005,06/30/2026,P.S. Corporation,,
"WAYNE RIVERS, CPA",BATTLE GROUND,WA,46734,06/01/2005,04/24/2020,Sole Proprietorship,,
CBIZ CPAs P.C.,Kansas City,MO,4840,06/20/2005,06/30/2026,P.S. Corporation,,
"STEPHANIE G. CHINN, CPA, PLLC",Bonney Lake,WA,46744,07/05/2005,06/30/2026,Limited Liability Company,,
BONNIE GREEN CPA PS,Spokane,WA,4841,06/30/2005,06/30/2026,P.S. Corporation,,
ALAN C. COALSON CPA PS,Spokane Valley,WA,4843,07/05/2005,06/30/2026,P.S. Corporation,,
"DENNIS A. WINTCH, CPA/ABV/CFF, CFE, ASA",TULALIP,WA,4846,07/20/2005,10/01/2021,Sole Proprietorship,,
"HOLMES & ASSOCIATES, CPAS, PS",CENTRALIA,WA,4850,07/20/2005,06/30/2020,P.S. Corporation,,
KOM CONSULTING PLLC,Seattle,WA,4851,08/08/2005,06/30/2026,Limited Liability Company,,
LAURA ANN SMITH,Fircrest,WA,46752,08/08/2005,06/30/2026,Sole Proprietorship,,
"SHELDON E. SALAK, PLLC",BELLEVUE,WA,4877,11/10/2005,06/30/2023,Limited Liability Company,,
DKB CONSULTING PS,Seattle,WA,4869,11/10/2005,06/30/2026,P.S. Corporation,,
ROGER T. TANABE CPA,Kirkland,WA,4876,11/10/2005,06/30/2026,Sole Proprietorship,,
CURTIS J. DALRYMPLE,Bellingham,WA,46785,11/29/2005,06/30/2026,Sole Proprietorship,,
ALISA NA CPAS & ADVISORS,Edmonds,WA,4881,11/28/2005,06/30/2026,P.S. Corporation,,
"FORTNER BAYENS, P.C.",Denver,CO,4903,01/11/2006,06/30/2027,P.S. Corporation,,
SPICER JEFFRIES LLP,Denver,CO,4912,01/31/2006,06/30/2027,Limited Liability Partnership,,
MATSUMOTO & ASSOCIATES,San Jose,CA,4888,12/13/2005,06/30/2026,Sole Proprietorship,,
JAMES L. BJORKMAN CPA LLC,Puyallup,WA,4892,01/11/2006,06/30/2027,P.S. Corporation,,
"ROBERT P. MCKINLEY CPA, P.C.",Spokane Valley,WA,4894,01/11/2006,06/30/2024,P.S. Corporation,,
GARY L. GOERTZEN,VANCOUVER,WA,4897,01/11/2006,07/01/2021,Sole Proprietorship,,
JOHN F. HOWES CPA,VANCOUVER,WA,4896,01/11/2006,06/30/2024,Sole Proprietorship,,
MARILYN L. MANTOR CPA PS,SEQUIM,WA,4895,01/11/2006,07/01/2021,P.S. Corporation,,
THOMAS G. SHUH CPA PS,EVERETT,WA,4898,01/11/2006,07/01/2021,P.S. Corporation,,
"VINTON J. SCHMIDT, CPA",DUVALL,WA,4901,01/11/2006,06/30/2027,Sole Proprietorship,,
"LAURIE PARRISH CPA, PLLC",Bellingham,WA,4915,02/13/2006,06/30/2027,Limited Liability Company,,
"DAN PECK & ASSOCIATES, INC.",Redmond,WA,4925,03/14/2006,06/30/2027,P.S. Corporation,,
"HOFFMAN & COMPANY, CPA, LLC",Goldendale,WA,4930,03/27/2006,06/30/2027,Limited Liability Company,,
JEAN D. PERRY CPA,ISSAQUAH,WA,4936,05/03/2006,07/01/2021,Sole Proprietorship,,
"KEITH WINNICK, CERTIFIED PUBLIC ACCOUNTANT, A PROF",Eugene,OR,4942,05/03/2006,06/30/2027,P.S. Corporation,,
CELIA GRIFFIN CPA PLLC,East Wenatchee,WA,46840,05/03/2006,06/30/2024,Limited Liability Company,,
"LIBERTY CREEK FINANCIAL SERVICES, P.S.",Greenacres,WA,4949,05/18/2006,06/30/2027,P.S. Corporation,,
"NS JERNEGAN, PS",Spanaway,WA,4937,05/03/2006,12/31/2023,P.S. Corporation,,
"ACCOUNTING SOLUTIONS, PLLC",Federal Way,WA,46848,05/18/2006,06/30/2027,Limited Liability Company,,
"GOODFELLOW & ASSOCIATES, P.S.",ENUMCLAW,WA,4944,05/03/2006,07/01/2021,P.S. Corporation,,
MOSER & COMPANY LLC,Bellevue,WA,4958,06/15/2006,06/30/2027,Limited Liability Company,,
"GLESSING ASSOCIATES, CPA INC, PS",Nordland,WA,46864,06/15/2006,06/30/2027,P.S. Corporation,,
"MARY H. HAWKINS, CPA PS",Woodinville,WA,4952,06/15/2006,01/03/2024,P.S. Corporation,,
United States X Advisors Washington CPAs P.S.,Tacoma,WA,4967,07/05/2006,06/30/2027,P.S. Corporation,,
NEWMAN DIERST HALES PLLC,SEATTLE,WA,4989,09/21/2006,06/30/2027,Limited Liability Partnership,,
"MCDONALD JACOBS, P.C.",Portland,OR,5331,10/20/2009,06/30/2027,P.S. Corporation,,
"PAUL W. BRANDSTETTER CPA, INC P.S.",LAKE STEVENS,WA,4993,10/04/2006,06/30/2021,P.S. Corporation,,
"GENE SLUTSKY, CPA",Issaquah,WA,4996,10/13/2006,06/30/2024,Sole Proprietorship,,
BOOKKEEPING PROFESSIONALS,Mercer Island,WA,46896,10/17/2006,06/30/2024,Sole Proprietorship,,
"JOANNE ORT, CPA, PLLC",SEATTLE,WA,4999,10/24/2006,06/30/2021,Limited Liability Company,,
"CAGIANUT & COMPANY, CPA",WHITEHOUSE,TX,5000,10/24/2006,06/30/2021,Sole Proprietorship,,
KLG ACCOUNTING SERVICES,Mill Creek,WA,5002,11/08/2006,06/30/2027,Sole Proprietorship,,
MICHELE R. GUIDICE-CARROZZO PS,Liberty Lake,WA,5003,11/14/2006,06/30/2027,P.S. Corporation,,
"ALAN E. NORWOOD, CPA",Puyallup,WA,5004,11/14/2006,07/01/2021,Sole Proprietorship,,
"YASMIN L. CALDWELL CPA P.S., INC.",PUYALLUP,WA,5006,11/22/2006,06/30/2027,P.S. Corporation,,
"HATTRUP & ASSOCIATES, P.S.",Edmonds,WA,5007,11/27/2006,06/30/2027,P.S. Corporation,,
CLIFTONLARSONALLEN LLP,Minneapolis,MN,46909,12/14/2006,06/30/2027,Limited Liability Partnership,,
"INSPIRE ADVISORS & CERTIFIED PUBLIC ACCOUNTANTS, P.S.",Aberdeen,WA,5011,12/28/2006,06/30/2024,P.S. Corporation,,
"JACK B. PERSON, CPA",Everett,WA,46930,02/01/2007,06/30/2028,Sole Proprietorship,,
LAILA J. COLLINS CPA,Renton,WA,46920,01/05/2007,06/30/2028,Sole Proprietorship,,
"Forvis Mazars, LLP",SPRINGFIELD,MO,5045,03/05/2007,06/30/2025,Limited Liability Partnership,,
"BONNIE L KOOSER, CPA",AUBURN,WA,5073,05/23/2007,06/30/2025,Sole Proprietorship,,
"DOUGLAS G. FOSTER, CPA P.S.",Seattle,WA,5083,06/27/2007,06/30/2028,P.S. Corporation,,
"CURNOW & CURNOW, PLLC",Bellingham,WA,46985,07/12/2007,06/30/2028,Limited Liability Company,,
"RYAN S. MEYER, CERTIFIED PUBLIC ACCOUNTANT",VANCOUVER,WA,5084,07/10/2007,06/30/2022,Sole Proprietorship,,
"PHILLIP R. GILBERT, CPA",CENTRALIA,WA,5087,07/25/2007,06/30/2022,Sole Proprietorship,,
THOMAS M. OWEN CPA PLLC,Kennewick,WA,5134,01/14/2008,06/30/2026,Limited Liability Company,,
"WILLIAM D. CRAVEN, CPA",Richland,WA,5092,08/22/2007,06/30/2022,Sole Proprietorship,,
"RO, CHUNG, LONG & ASSOCIATES, CPA P.S.",Bellevue,WA,47005,10/05/2007,06/30/2022,P.S. Corporation,,
"AMANDA & COMPANY, CPA",Spokane Valley,WA,5099,09/14/2007,06/30/2025,Sole Proprietorship,,
"PETER SUPPIPAT, CPA",BELLEVUE,WA,5100,09/19/2007,05/19/2020,Sole Proprietorship,,
OSBORNE ROBBINS & BUHLER PLLC,Salt Lake City,UT,5104,10/02/2007,01/08/2025,Limited Liability Company,,
"DINO W. TRAVERSO, PLLC",Renton,WA,5103,10/02/2007,06/30/2028,Limited Liability Company,,
"RIVERA ACCOUNTANCY, LLC",Snohomish,WA,47020,11/16/2007,06/30/2028,Limited Liability Company,,
RIBAIL ADVISORY SERVICES PLLC,Liberty Lake,WA,5127,01/02/2008,06/30/2026,Limited Liability Company,,
"THOMAS & COMPANY, CPA, PC",Vancouver,WA,5122,12/05/2007,06/30/2025,P.S. Corporation,,
"CPA SOLUTIONS, PLLC",Kent,WA,5128,01/02/2008,06/30/2026,Limited Liability Company,,
"DE HAAN, PLLC",Seattle,WA,5126,12/11/2007,06/30/2028,Limited Liability Company,,
"DAREN B. TANNER, P.C.",Beaverton,OR,5124,12/11/2007,06/30/2028,P.S. Corporation,,
"VAN BEEK & CO, LLC",Portland,OR,5142,01/31/2008,06/30/2026,Limited Liability Company,,
"FIEVEZ & BEAN, PLLC",Spokane,WA,5130,01/02/2008,06/30/2026,Limited Liability Company,,
ALDRICH CPAS AND ADVISORS LLP,Salem,OR,5133,01/14/2008,06/30/2026,Limited Liability Partnership,,
MICHAEL A. PASSECK CPA PS INC,Tacoma,WA,5137,01/17/2008,06/30/2026,P.S. Corporation,,
REBECCA A. LEMKE CPA LLC,Renton,WA,47035,01/17/2008,06/30/2026,Limited Liability Company,,
"JAMES R. MCDONALD, CPA, PLLC",SEATTLE,WA,47038,01/24/2008,06/30/2020,Limited Liability Company,,
"GHP HORWATH, PC",DENVER,CO,47066,05/20/2008,06/30/2020,P.S. Corporation,,
DAVID T. SCHWINDT P.C.,Portland,OR,47090,10/14/2008,06/30/2026,P.S. Corporation,,
CROWE LLP,Oak Brook,IL,5195,10/27/2008,06/30/2026,Limited Liability Partnership,,
"LINDA LOUREY, CPA",Deer Park,WA,5196,11/05/2008,06/30/2026,Sole Proprietorship,,
"KAREN G BOOTHE, CPA",Vancouver,WA,47096,11/05/2008,06/30/2026,Sole Proprietorship,,
"LAIRD AND ASSOCIATES, PLLC",CLARKSTON,WA,5198,11/05/2008,10/06/2022,Limited Liability Company,,
"WENDY S. MECHAM, CPA",CENTRALIA,WA,5199,11/05/2008,06/30/2023,Sole Proprietorship,,
MAGINNIS & CAREY LLP,Lake Oswego,OR,5202,10/07/2008,06/30/2026,Limited Liability Partnership,,
"PACIFIC NORTHWEST CONSULTANTS, LLC",Auburn,WA,47105,11/19/2008,06/30/2026,Limited Liability Company,,
JW & ASSOCIATES PLLC,Colfax,WA,5207,11/19/2008,06/30/2026,Limited Liability Company,,
"WEISS & ASSOCIATES, P.S.",Kirkland,WA,5209,11/25/2008,06/30/2026,P.S. Corporation,,
"HANSEN & COGAR, PLLC",Monroe,WA,5210,11/25/2008,06/30/2026,Limited Liability Company,,
"MATTHEW I FOGLER, CPA",ROSEVILLE,CA,47114,12/15/2008,06/30/2020,Sole Proprietorship,,
ARTISTIC ACCOUNTING PLLC,Seattle,WA,5221,12/30/2008,06/30/2026,Limited Liability Company,,
"SHANNA L. TOMKO, CPA",Issaquah,WA,5233,01/27/2009,06/30/2027,Sole Proprietorship,,
"NANCY L. HANSEN, CPA, P.S.",Olympia,WA,5218,12/30/2008,09/16/2024,P.S. Corporation,,
"WENDY L. SIMEUR, CPA",Bellingham,WA,5223,12/30/2008,06/30/2026,Sole Proprietorship,,
DON LASHER CPA,Ridgefield,WA,5385,02/22/2010,06/30/2025,Sole Proprietorship,,
"COLLEEN A. BRAA, CPA",Seattle,WA,5229,01/27/2009,06/30/2027,Sole Proprietorship,,
"SANDRA D'COSTA, CPA, PLLC",Bellevue,WA,5227,01/13/2009,06/30/2027,Limited Liability Company,,
"RICHEY, MAY & CO., LLP",Englewood,CO,5247,02/12/2009,06/30/2027,Limited Liability Partnership,,
"DOUGLAS A. KAY, CPA, PS",Tumwater,WA,5235,01/27/2009,03/14/2024,P.S. Corporation,,
"JPGATES, CPA, LLC",KIRKLAND,WA,47135,01/27/2009,10/19/2020,Limited Liability Company,,
"ALAN SCHLIMMER, CPA PS",Warden,WA,5234,01/27/2009,06/30/2027,P.S. Corporation,,
"KERN & THOMPSON, LLC",Portland,OR,5239,01/27/2009,06/30/2027,Limited Liability Company,,
OPSAHL DAWSON,Vancouver,WA,47130,01/27/2009,07/05/2023,P.S. Corporation,,
"DAVID E. DEGROOT, CPA",Bonney Lake,WA,5241,02/02/2009,06/30/2027,Sole Proprietorship,,
"CHARLES YOUNG, P.C.",Vancouver,WA,5367,01/25/2010,06/30/2022,Professional Corporation,,
"TOYER, DIETRICH & ASSOCIATES, CPAS",Everett,WA,5243,02/05/2009,06/30/2027,P.S. Corporation,,
LISA M. OLANDER CPA INC. PS,Arlington,WA,5495,09/28/2010,11/02/2021,P.S. Corporation,,
"RUSSELL ASSOCIATES CPA'S, PLLC",DES MOINES,WA,5264,12/21/2009,07/01/2021,Limited Liability Company,,
"CONNIE LIU TERPENING CPA, LLC",Vancouver,WA,5260,03/05/2009,06/30/2027,Limited Liability Company,,
PETERSON SULLIVAN LLP,Seattle,WA,5266,03/27/2009,05/27/2022,Limited Liability Partnership,,
"JAMES D. BACON, CPA, PS",Lacey,WA,5270,03/31/2009,04/28/2021,P.S. Corporation,,
YAKIMA CPA GROUP,YAKIMA,WA,5281,05/12/2009,07/01/2021,Limited Liability Company,,
CHERRY BEKAERT LLP,Raleigh,NC,5294,06/02/2009,06/30/2027,Partnership,,
CONNIE PONS CPA PLLC,Bainbridge Island,WA,47199,05/05/2010,06/30/2028,Limited Liability Company,,
MARGARET C WEBB CPA INC,Tacoma,WA,5299,06/22/2009,06/30/2027,P.S. Corporation,,
"RHEE ELIKER, C.P.A., M.B.T.",Bellevue,WA,5305,07/07/2009,06/30/2027,Sole Proprietorship,,
"WORTHY & COMPANY, LLC",Hillsboro,OR,47203,07/02/2009,06/30/2027,Limited Liability Company,,
"STEVENS, REPPEL & SAUR, INC.,",ANCHORAGE,AK,5303,07/01/2009,07/01/2021,P.S. Corporation,,
"CPA, BUSINESS/TAX CONSULTANT, PLLC",Kennewick,WA,5512,11/02/2010,09/16/2024,Limited Liability Company,,
"EVERGREEN TAX & LAW, P.S.",LYNNWOOD,WA,47206,07/17/2009,06/30/2024,P.S. Corporation,,
"THE MOORE GROUP, CPA",Nashua,NH,5316,08/12/2009,06/30/2027,Limited Liability Company,,
"JEAN MAFFETT, CPA",Castle Rock,WA,47216,08/13/2009,06/30/2027,Sole Proprietorship,,
"SCHOEDEL & SCHOEDEL, CPAS, PLLC",Spokane,WA,5346,11/17/2009,06/30/2027,Limited Liability Company,,
"LEO L. WERRE, CPA, PLLC",RENTON,WA,5320,09/03/2009,10/06/2022,Limited Liability Company,,
MACIAS GINI & O`CONNELL LLP,Los Angeles,CA,5325,09/30/2009,06/30/2027,Partnership,,
"KONRAD E. LINDBLOM, CPA",Burien,WA,5326,09/30/2009,06/30/2027,Sole Proprietorship,,
"SWEENEY & ASSOCIATES, CPA, PS",Spokane,WA,5329,10/08/2009,06/30/2027,P.S. Corporation,,
"ASPEN FINANCIAL & TAX SERVICES, INC.",Bellevue,WA,47298,03/12/2010,06/30/2025,P.S. Corporation,,
"NORRIS LUTKEWITTE, PLLC",Bellevue,WA,5342,11/13/2009,06/30/2027,Limited Liability Company,,
"MIHAYLOV & ELIM, INC. PS",Kenmore,WA,47243,11/18/2009,06/30/2027,P.S. Corporation,,
"MACDONALD & ASSOCIATES, PLLC",Bainbridge Island,WA,47247,01/05/2010,06/30/2028,Limited Liability Company,,
"MARY ROTH, CPA PLLC",Kennewick,WA,5352,01/05/2010,06/30/2025,Limited Liability Company,,
"JAMES MARTA & COMPANY, LLP",Sacramento,CA,47257,01/22/2010,06/30/2028,Limited Liability Partnership,,
SHAMBALLA CENTRE,Anacortes,WA,5361,01/15/2010,06/23/2021,Sole Proprietorship,,
"JULIE DORSEY, CPA PLLC",Auburn,WA,5368,01/28/2010,06/30/2028,Limited Liability Company,,
"NTH DEGREE CPAS, PLLC",Seattle,WA,5392,03/05/2010,06/30/2028,Limited Liability Company,,
"GUNNING, STENSON & PRICE CPA PS",Bellevue,WA,47270,02/09/2010,06/30/2028,P.S. Corporation,,
"FARM, RANCH & HOME ACCOUNTING, PC",Prosser,WA,5396,03/11/2010,07/12/2021,Professional Corporation,,
"JAMES A. CAROTHERS, CPA",Spokane,WA,47421,12/13/2010,06/30/2028,Sole Proprietorship,,
"DAUBY O'CONNOR & ZALESKI, LLC",Carmel,IN,5390,03/02/2010,06/30/2028,Limited Liability Company,,
"BRADY & COMPANY, CPAS INC PS",Edmonds,WA,5408,03/24/2010,06/30/2028,P.S. Corporation,,
"DENNIS L. THOMPSON, CPA",Lynnwood,WA,5427,05/05/2010,06/30/2025,Limited Liability Company,,
DAVID MUNSON & ASSOCIATES LLC,Boise,ID,5420,04/16/2010,10/06/2022,Limited Liability Company,,
"MATSON, DRISCOLL & DAMICO",Los Angeles,CA,5422,04/30/2010,06/30/2025,Partnership,,
"CRAIG W. REYNOLDS, CPA",Toppenish,WA,5425,04/30/2010,06/30/2025,Sole Proprietorship,,
"LESLIE G. MICHIE, CPA",MOSES LAKE,WA,47321,05/05/2010,10/01/2021,Sole Proprietorship,,
"LITTRELL & BAILEY, P.S.",Wenatchee,WA,5429,05/05/2010,09/29/2021,Professional Corporation,,
DOWSETT FOGG & DOLER PC,PORTLAND,OR,5434,06/02/2010,06/30/2025,P.S. Corporation,,
"RICHARD D. CALDWELL, CPA",Portland,OR,5435,06/03/2010,06/30/2028,Sole Proprietorship,,
"EAGLE HARBOR CPA, PLLC",Bainbridge Island,WA,5451,07/01/2010,06/30/2028,Limited Liability Company,,
"JARRARD, SEIBERT, POLLARD & CO LLC",West Linn,OR,5443,06/22/2010,06/30/2028,Limited Liability Company,,
"HOLDER & HOLDER, CPAS",Ridgefield,WA,5447,06/30/2010,06/30/2022,Partnership,,
PAUL DELONG CPA INC,Woodinville,WA,47349,07/13/2010,06/30/2025,Corporation,,
"REKDAL HOPKINS HOWARD, PS",Bellevue,WA,5453,07/01/2010,06/30/2028,P.S. Corporation,,
"STEVEN C. GARBER CPA, INC., P.S.",Seattle,WA,5457,07/14/2010,07/21/2021,P.S. Corporation,,
"MADDOX & ASSOCIATES, APC",Baton Rouge,LA,5458,07/14/2010,06/30/2028,Professional Corporation,,
"BAUER EVANS, INC., P.S.",Everett,WA,5456,07/14/2010,06/30/2028,P.S. Corporation,,
"MARGARET MATTHEWS CPA, P.S.",SEATTLE,WA,5460,07/20/2010,06/30/2022,P.S. Corporation,,
WIPFLI LLP,Eau Claire,WI,47370,07/30/2010,06/30/2028,Partnership,,
"BEDARD, KUROWICKI & CO., CPA'S, PC",FLEMINGTON,NJ,5477,07/30/2010,06/30/2022,Professional Corporation,,
VL SCOTT PLLC,Mount Vernon,WA,5480,08/09/2010,06/30/2025,Limited Liability Company,,
JULIE J BAIRD CPA LLC,Kenmore,WA,5479,08/09/2010,06/30/2028,Limited Liability Company,,
JULIE YOO KOSER CPA,PUYALLUP,WA,5485,08/30/2010,07/14/2021,Sole Proprietorship,,
EVA M WEISENBURGER CPA PC,Spokane,WA,5487,09/02/2010,11/07/2022,Corporation,,
"T.S. ENSIGN, CPA & COMPANY, INC.",Ravensdale,WA,5492,09/23/2010,06/30/2028,Corporation,,
"NELSON & SWAITE, CPAS, LLC",Vancouver,WA,5493,09/23/2010,06/30/2025,Limited Liability Company,,
RICHARD WINKEL CPA INC,Portland,OR,5499,10/05/2010,04/19/2022,P.S. Corporation,,
"MARY BETH HEROLD, CPA",Mountlake Terrace,WA,47395,10/06/2010,06/30/2025,Sole Proprietorship,,
DEBBI LEWANG CPA,Co. Kerry,,47406,10/26/2010,02/01/2022,Sole Proprietorship,,
"LINDA M. TEACHOUT, CPA PLLC",Seattle,WA,5515,11/04/2010,06/30/2028,Limited Liability Company,,
SPIEGEL ACCOUNTANCY CORP.,Pleasant Hill,CA,5517,11/22/2010,06/30/2025,P.S. Corporation,,
"NANCY Y ISELY CPA, INC.",Brier,WA,5518,11/29/2010,06/30/2028,Corporation,,
EASTSIDE ACCOUNTANTS,Seattle,WA,5519,11/30/2010,06/30/2025,Limited Liability Company,,
"CALVO+ASSOCIATES, INC",Issaquah,WA,5520,12/02/2010,06/30/2025,P.S. Corporation,,
GREEN-HITE & ASSOCIATES,Vancouver,WA,5522,12/08/2010,07/30/2024,Limited Liability Company,,
MARK L YOUNGS CPA PS,Bothell,WA,5521,12/06/2010,06/30/2022,P.S. Corporation,,
SROUFE & ASSOCIATES LLP,Tukwila,WA,5523,12/08/2010,06/30/2028,Limited Liability Partnership,,
"DONALD W. BELL, CPA",SHORELINE,WA,5524,12/09/2010,03/03/2022,Sole Proprietorship,,
VCB CONSULTING PLLC,Whitefish,MT,5529,12/16/2010,06/30/2028,Limited Liability Company,,
"MAS, INC. - CERTIFIED PUBLIC ACCOUNTANTS",Edmonds,WA,5528,12/16/2010,06/30/2025,Corporation,,
PATRICIA B GEORGE CPA PLLC,Newcastle,WA,5533,12/29/2010,01/07/2022,Limited Liability Company,,
KWON'S ACCOUNTING CO,Issaquah,WA,5545,01/18/2011,09/14/2023,Sole Proprietorship,,
STEPHEN E CLARK CPA PS INC,BELLEVUE,WA,47434,01/10/2011,06/30/2020,P.S. Corporation,,
501CPAS LLC,Kent,WA,5570,04/12/2011,12/23/2024,Limited Liability Company,,
SCOTT E PERNAA CPA PC,Ellensburg,WA,5565,03/30/2011,06/30/2026,Professional Corporation,,
JONES & SAS LLC,REDMOND,WA,47462,03/30/2011,06/30/2020,Limited Liability Company,,
GEFFEN MESHER & CO PC,Portland,OR,47474,04/27/2011,06/30/2026,Professional Corporation,,
MYERS BRETTHOLTZ & COMPANY PA,Fort Myers,FL,5574,04/20/2011,06/30/2026,Professional Corporation,,
"JOHN B CHURCH, CPA",Tacoma,WA,5571,04/13/2011,06/30/2026,Sole Proprietorship,,
DIXON HUGHES GOODMAN LLP,Charlotte,NC,5572,04/19/2011,06/30/2023,Limited Liability Partnership,,
FAIRWOOD CPA SERVICES PLLC,Renton,WA,5586,05/31/2011,06/30/2026,Limited Liability Company,,
"MARCI FLANERY, CPA",Lopez Island,WA,5588,06/13/2011,06/30/2026,Sole Proprietorship,,
SHEILA R. LOZAN CPA PLLC,SEATTLE,WA,5587,06/07/2011,06/30/2026,Limited Liability Company,,
JEFFREY B. FORSBERG CPA PS,Bellevue,WA,5594,06/28/2011,06/30/2026,P.S. Corporation,,
"REDDAWAY KABIRI, PLLC",Bellevue,WA,5593,06/22/2011,06/30/2026,Limited Liability Company,,
MUCKLEY FINANCIAL SERVICES LLC,Edmonds,WA,47490,06/28/2011,06/30/2026,Limited Liability Company,,
NILSON & OORD PLLC,Richland,WA,5596,06/29/2011,06/30/2026,Limited Liability Company,,
